"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 30일","2,197.67","2,202.62","2,208.04","2,195.65","416.40M","-0.30%"
"2019년 12월 27일","2,204.21","2,183.70","2,215.55","2,177.40","490.17M","0.29%"
"2019년 12월 26일","2,197.93","2,192.22","2,198.01","2,183.90","571.31M","0.36%"
"2019년 12월 24일","2,190.08","2,206.23","2,206.23","2,187.58","569.97M","-0.62%"
"2019년 12월 23일","2,203.71","2,208.22","2,209.20","2,196.43","502.03M","-0.02%"
"2019년 12월 20일","2,204.18","2,205.57","2,206.82","2,194.80","646.68M","0.35%"
"2019년 12월 19일","2,196.56","2,199.42","2,204.73","2,186.59","643.14M","0.08%"
"2019년 12월 18일","2,194.76","2,194.92","2,204.04","2,187.32","591.11M","-0.04%"
"2019년 12월 17일","2,195.68","2,179.40","2,196.01","2,171.09","599.53M","1.27%"
"2019년 12월 16일","2,168.15","2,168.05","2,175.01","2,166.29","377.05M","-0.10%"
"2019년 12월 13일","2,170.25","2,164.63","2,170.25","2,159.45","540.03M","1.54%"
"2019년 12월 12일","2,137.35","2,120.13","2,138.93","2,120.13","584.64M","1.51%"
"2019년 12월 11일","2,105.62","2,098.28","2,109.22","2,092.48","668.73M","0.36%"
"2019년 12월 10일","2,098.00","2,081.22","2,100.48","2,080.16","500.06M","0.45%"
"2019년 12월 09일","2,088.65","2,091.94","2,093.81","2,084.31","393.13M","0.33%"
"2019년 12월 06일","2,081.85","2,072.44","2,084.44","2,070.17","440.19M","1.02%"
"2019년 12월 05일","2,060.74","2,078.31","2,084.29","2,053.56","472.19M","-0.39%"
"2019년 12월 04일","2,068.89","2,070.84","2,072.91","2,057.45","347.00M","-0.73%"
"2019년 12월 03일","2,084.07","2,075.02","2,085.71","2,066.60","450.04M","-0.38%"
"2019년 12월 02일","2,091.92","2,097.55","2,103.87","2,088.92","385.34M","0.19%"
"2019년 11월 29일","2,087.96","2,125.53","2,125.53","2,085.10","433.26M","-1.45%"
"2019년 11월 28일","2,118.60","2,116.93","2,127.75","2,116.58","335.23M","-0.43%"
"2019년 11월 27일","2,127.85","2,134.47","2,136.30","2,118.07","367.80M","0.31%"
"2019년 11월 26일","2,121.35","2,129.27","2,139.64","2,120.85","532.60M","-0.10%"
"2019년 11월 25일","2,123.50","2,117.14","2,130.04","2,116.07","397.68M","1.02%"
"2019년 11월 22일","2,101.96","2,098.89","2,106.42","2,093.99","519.85M","0.26%"
"2019년 11월 21일","2,096.60","2,123.65","2,125.36","2,088.19","579.55M","-1.35%"
"2019년 11월 20일","2,125.32","2,140.06","2,145.97","2,123.80","581.06M","-1.30%"
"2019년 11월 19일","2,153.24","2,151.04","2,154.41","2,137.01","826.88M","-0.34%"
"2019년 11월 18일","2,160.69","2,161.89","2,165.89","2,151.97","489.23M","-0.07%"
"2019년 11월 15일","2,162.18","2,137.96","2,165.02","2,135.26","556.25M","1.07%"
"2019년 11월 14일","2,139.23","2,127.54","2,139.23","2,121.32","521.11M","0.79%"
"2019년 11월 13일","2,122.45","2,132.48","2,133.37","2,118.67","664.36M","-0.86%"
"2019년 11월 12일","2,140.92","2,131.26","2,140.94","2,121.80","610.43M","0.79%"
"2019년 11월 11일","2,124.09","2,139.07","2,139.07","2,119.07","617.27M","-0.61%"
"2019년 11월 08일","2,137.23","2,154.18","2,155.94","2,133.75","574.13M","-0.33%"
"2019년 11월 07일","2,144.29","2,141.05","2,147.01","2,135.45","425.66M","0.01%"
"2019년 11월 06일","2,144.15","2,142.69","2,156.23","2,138.83","410.08M","0.07%"
"2019년 11월 05일","2,142.64","2,133.66","2,143.12","2,128.70","400.64M","0.58%"
"2019년 11월 04일","2,130.24","2,111.32","2,130.83","2,111.32","476.26M","1.43%"
"2019년 11월 01일","2,100.20","2,084.79","2,100.42","2,081.53","418.31M","0.80%"
"2019년 10월 31일","2,083.48","2,089.22","2,103.71","2,083.48","461.32M","0.15%"
"2019년 10월 30일","2,080.27","2,093.51","2,093.51","2,075.54","415.55M","-0.59%"
