cast_count,cast_count_sum,cast_time,cast_time_sum,노출(분),마더코드,방송일시,상품군,상품명,상품코드,취급액,판매단가,cast_time_ratio,상품명_plan,상품명_add,상품명_maker,상품명_set,상품명_sex,상품명_kid,fake_weight,fake_weight2,ratings_mean,cat1,cat2,cat3,방송일시_dow,방송일시_MM,방송일시_DD,방송일시_hh,방송일시_mm,방송일시_MMDD,방송일시_DDhh,방송일시_hhmm,방송일시_MMDDhh,방송일시_mmmm_1,방송일시_mmmm_2,방송일시_mmmm_3,방송일시_dow2,new_상품명,상품명_brand,review_counts,internet_price,price_minus,search_naver,temperature,change_label,ratings_start,가격_9x,098560,143860,227550,227560,228790,228800,307510,할인여부,mean_amt_by_hhmm,time_cat,time_cat2,판매단가_cat,변동 %,com,fake_weight3,날짜,search_compare,encoding_상품명:,encoding_상품군:,encoding_상품명_brand:,encoding_new_상품명:,encoding_cat1:,encoding_cat2:,encoding_cat3:
2,3.0,40.0,60.0,20.0,100837,2019-01-06 17:20:00,주방,(도냄)일시불  쿠쿠전기밥솥 6인용,202457,3566000,198000,0.6666666666666666,1,0,0,0,0,0,-4,0.0,0.0035147540983606557,디지털/가전,주방가전,전기밥솥,6,01,06,17,20,0106,0617,1720,010617,20400,122400,122400,0,도냄  쿠쿠전기밥솥,도냄,0,0,198000,0,-2.3,0,0.0,0,,,,,,,,0,16454362.416107383,1,3,5,0.0,0,4,0106,15.43782,28,9,98,311,1,70,167
2,2.0,60.0,60.0,30.0,100717,2019-01-22 04:30:00,속옷,로베르타 디 까메리노 트리플커버 지퍼쉐이핑 란쥬,202110,58626000,89900,1.0,0,0,0,0,1,0,-1,0.0,0.002560655737704919,패션의류,여성언더웨어/잠옷,보정속옷,1,01,22,04,30,0122,2204,0430,012204,7200,158400,158400,1,로베르타 디 까메리노 트리플커버 지퍼쉐이핑 란쥬,로베,30,20400,69500,1,-3.2,0,0.0,1,10155.0,-31556.0,5210.0,11880.0,3405.0,4765.0,9920.0,0,32541897.435897436,0,1,4,-0.32,1,0,0122,14.24364,636,5,125,399,6,50,78
1,3.0,20.0,60.0,20.0,100149,2019-03-23 09:00:00,가전,LG 휘센 에어컨 위너 FQ17V9WWA1(스탠드),200423,7388000,1899000,0.3333333333333333,0,0,2,0,0,0,-4,0.0,0.00470109289617486,디지털/가전,계절가전,에어컨,5,03,23,09,00,0323,2309,0900,032309,0,0,0,0,LG 휘센 에어컨 위너 FQ17V9WWA1,LG,883,1177900,721100,1,5.4,0,0.0,1,9805.0,-30326.0,5045.0,12420.0,4065.0,4580.0,11500.0,0,14268140.271493213,1,1,5,0.0,0,3,0323,14.39555,256,1,17,85,1,6,133
2,3.0,40.0,60.0,20.0,100040,2019-06-25 21:20:00,잡화,프라다 자카드 토트백,200095,2578000,1190000,0.6666666666666666,0,0,0,0,0,0,-1,0.0,0.00473606557377049,패션잡화,여성가방,토트백,1,06,25,21,20,0625,2521,2120,062521,25200,630000,3780000,1,프라다 자카드 토트백,프라,10,646050,543950,1,23.4,0,0.0,1,8975.0,31165.0,5070.0,10985.0,3430.0,4465.0,11395.0,0,14928481.561822126,2,0,5,-0.22,0,5,0625,13.8487,1896,8,428,1398,7,48,220
3,3.0,60.0,60.0,20.0,100149,2019-05-02 17:40:00,가전,무이자 LG 휘센 씽큐 에어컨 스탠드형FQ17V9KWA1,200474,14425000,1989000,1.0,2,0,2,0,0,0,-1,0.0,0.004109836065573772,디지털/가전,계절가전,에어컨,3,05,02,17,40,0502,0217,1740,050217,40800,81600,408000,1,LG 휘센 씽큐 에어컨 스탠드형FQ17V WA1,LG,883,1177900,811100,1,17.2,0,0.0,1,9330.0,-30871.0,5165.0,12045.0,4015.0,5080.0,11690.0,0,24338110.851808634,1,3,5,0.42,0,4,0502,15.41913,778,1,17,81,1,6,133
1,3.0,20.0,60.0,20.0,100577,2019-02-16 07:00:00,가전,일시불 삼성 노트북 9 메탈 기본형 NT900X5J-K14,201758,11264000,999000,0.3333333333333333,1,0,1,0,0,0,-1,0.0,0.004712021857923496,디지털/가전,노트북,노트북,5,02,16,07,00,0216,1607,0700,021607,0,0,0,0,삼성 노트북 메탈 NT900X5J K14,삼성,30,939000,60000,1,-4.1,1,0.0,1,9960.0,-29596.0,5180.0,12105.0,3800.0,4670.0,11040.0,0,14664355.300859598,0,1,5,0.0,0,1,0216,12.42083,1492,1,207,717,1,20,33
1,3.0,20.0,60.0,20.0,100127,2019-04-28 12:00:00,의류,뱅뱅 여성 아웃도어 팬츠3종(2019 S/S),200355,7590000,69900,0.3333333333333333,0,0,0,0,1,0,-1,0.0,0.00624863387978142,패션의류,여성의류,바지,6,04,28,12,00,0428,2812,1200,042812,0,0,0,0,뱅뱅 여성 아웃도어 팬츠,뱅뱅,41,44500,25400,1,16.1,0,0.0,1,9425.0,-30936.0,5115.0,12300.0,4095.0,5025.0,11680.0,0,18034775.47495682,1,2,4,0.0,0,2,0428,13.59164,950,6,177,585,6,51,71
3,3.0,60.0,60.0,20.0,100150,2019-03-10 09:40:00,가전,일시불 LG 통돌이 세탁기,200533,39706000,439000,1.0,1,0,2,0,0,0,-4,0.0,0.0039628415300546425,디지털/가전,생활가전,세탁기,6,03,10,09,40,0310,1009,0940,031009,21600,216000,648000,0,LG 통돌이 세탁기,LG,18657,385990,53010,1,12.7,0,0.0,1,9870.0,-28931.0,5150.0,12530.0,4040.0,4575.0,11115.0,0,25369040.885860305,1,1,5,0.0,0,1,0310,16.17396,1432,1,17,76,1,35,105
3,3.0,57.0,57.0,20.0,100405,2019-12-04 23:00:00,속옷,란체티 남성 융기모 히팅 동내의 패키지,201290,19653000,59900,1.0,0,0,0,0,2,0,-1,0.0,0.003299453551912569,패션의류,남성언더웨어/잠옷,시즌성내의,2,12,04,23,00,1204,0423,2300,120423,0,0,0,1,란체티 남성 융기모 히팅 동내의,란체,0,0,59900,0,-1.3,0,0.0,1,8090.0,26200.0,4840.0,10785.0,3075.0,4110.0,10460.0,0,11529901.098901099,2,0,3,-0.73,0,1,1204,15.138689999999999,591,5,116,356,6,15,119
2,3.0,40.0,60.0,20.0,100448,2019-10-22 16:20:00,주방,(쿠)일시불 쿠첸 압력밥솥 6인용 (A1),201379,13688000,148000,0.6666666666666666,1,0,0,0,0,0,-4,0.0,0.004448633879781419,디지털/가전,주방가전,전기밥솥,1,10,22,16,20,1022,2216,1620,102216,19200,422400,4224000,1,쿠첸 압력밥솥,쿠첸,0,0,148000,0,19.5,0,0.0,0,8250.0,26910.0,5040.0,10585.0,2930.0,4150.0,10460.0,0,17577046.153846152,1,3,5,1.16,0,3,1022,13.38365,139,9,388,1239,1,70,167
